eps, eps_squared
-1.2988000000e+00, 6.8287680000e+02
-1.2130000000e+00, 5.9251040000e+02
-1.1495000000e+00, 5.3233880000e+02
-1.2541000000e+00, 6.3548760000e+02
-1.2007000000e+00, 5.8178600000e+02
-1.1401000000e+00, 5.2229800000e+02
-1.2098000000e+00, 5.9163360000e+02
-1.3026000000e+00, 6.8310640000e+02
-1.1441000000e+00, 5.2835400000e+02
-1.2658000000e+00, 6.4591120000e+02
-1.2374000000e+00, 6.1992240000e+02
-1.3667000000e+00, 7.5637000000e+02
-1.1454000000e+00, 5.2747200000e+02
-1.2281000000e+00, 6.0853000000e+02
-1.3848000000e+00, 7.7563600000e+02
-1.3642000000e+00, 7.4891280000e+02
-1.3116000000e+00, 6.9555280000e+02
-1.2874000000e+00, 6.6727280000e+02
-1.3927000000e+00, 7.8128760000e+02
-1.3408000000e+00, 7.2341840000e+02
-1.1382000000e+00, 5.2352240000e+02
-1.3152000000e+00, 7.0221520000e+02
-1.0982000000e+00, 4.8599520000e+02
-1.2004000000e+00, 5.8317520000e+02
-1.2643000000e+00, 6.4681640000e+02
-1.3763000000e+00, 7.6322280000e+02
-1.3115000000e+00, 6.9379080000e+02
-1.3271000000e+00, 7.1303240000e+02
-1.2483000000e+00, 6.2640360000e+02
-1.1770000000e+00, 5.5797840000e+02
-1.1144000000e+00, 4.9957600000e+02
-1.1890000000e+00, 5.6922960000e+02
-1.3246000000e+00, 7.0626720000e+02
-1.2434000000e+00, 6.2503520000e+02
-1.1363000000e+00, 5.2099160000e+02
-1.1473000000e+00, 5.3928920000e+02
-1.3893000000e+00, 7.7801960000e+02
-1.2861000000e+00, 6.7240840000e+02
-1.3999000000e+00, 7.8800920000e+02
-1.2809000000e+00, 6.6274760000e+02
-1.3324000000e+00, 7.2146880000e+02
-1.1587000000e+00, 5.4171240000e+02
-1.1298000000e+00, 5.1393040000e+02
-1.2385000000e+00, 6.1914920000e+02
-1.2062000000e+00, 5.9230480000e+02
-1.2887000000e+00, 6.6964200000e+02
-1.2510000000e+00, 6.2956000000e+02
-1.2262000000e+00, 6.0829920000e+02
-1.1861000000e+00, 5.6931240000e+02
-1.3948000000e+00, 7.8649760000e+02
-1.2796000000e+00, 6.6372720000e+02
-1.1427000000e+00, 5.2610280000e+02
-1.3106000000e+00, 6.9679040000e+02
-1.2983000000e+00, 6.7848840000e+02
-1.1792000000e+00, 5.5968480000e+02
-1.2760000000e+00, 6.5824480000e+02
-1.2231000000e+00, 6.0256760000e+02
-1.4396000000e+00, 8.3429680000e+02
-1.1718000000e+00, 5.5903840000e+02
-1.1007000000e+00, 4.8753880000e+02
-1.2564000000e+00, 6.3666800000e+02
-1.3067000000e+00, 6.8792200000e+02
-1.2058000000e+00, 5.8674400000e+02
-1.1850000000e+00, 5.7078880000e+02
-1.1983000000e+00, 5.7796440000e+02
